player,ppg,apg,rpg,bpg,num_seasons,MVPs,Finals_MVP,Championships,ROTY,DPOTY,CPOY,NBA1st,NBA2nd,NBA3rd,DEF1st,DEF2nd,AllStarCount,hof
Keith Tower,1.8490566038,0.1320754717,1.3018867925,0.2264150943,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Kevin Thompso,0.9285714286,0.2142857143,0.9285714286,0.1428571429,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Lindsey Hunte,8.4909284952,2.674493063,2.1568836713,0.1760939168,17,0,0.0,2.0,0,0,0,0,0,0,0,0,0,False
Lucious Harri,7.23,1.4125,2.33,0.1075,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Luther Wright,1.2666666667,0.0,0.6666666667,0.1333333333,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Malcolm Macke,1.4545454545,0.0454545455,1.0909090909,0.1363636364,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Matt Wenstrom,1.6363636364,0.0,1.0909090909,0.1818181818,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Michael Curry,4.4767616192,1.2053973013,1.5667166417,0.0989505247,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Mike Peplowsk,2.8529411765,0.3823529412,2.5882352941,0.3970588235,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Mitchell Butl,5.1602209945,0.9447513812,1.9806629834,0.1464088398,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Nick Van Exel,14.384090909,6.5647727273,2.8920454545,0.1045454545,13,0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
P.J. Brown,9.0633608815,1.5252525253,7.7217630854,1.0247933884,15,0,0.0,1.0,0,0,0,0,0,0,0,3,0,False
Popeye Jones,6.9644859813,1.3009345794,7.4411214953,0.3009345794,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Reggie Jordan,2.688172043,1.0215053763,1.8440860215,0.1666666667,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Rex Walters,4.6179104478,1.6985074627,1.2029850746,0.0895522388,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Richard Petru,2.4090909091,0.0454545455,1.4090909091,0.1363636364,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,False
Ricky Grace,1.3333333333,0.3333333333,0.3333333333,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Rodney Rogers,10.933025404,1.9884526559,4.4815242494,0.5207852194,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Sam Cassell,15.745216516,5.9808660624,3.2437059416,0.1641490433,15,0,0.0,3.0,0,0,0,0,1,0,0,0,1,False
Scott Burrell,6.911227154,1.3759791123,3.4778067885,0.4699738903,8,0,0.0,1.0,0,0,0,0,0,0,0,0,0,False
Scott Haskin,2.037037037,0.2222222222,2.037037037,0.5555555556,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Shawn Bradley,8.1153846154,0.6887019231,6.3317307692,2.546875,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Skeeter Henry,1.0,1.0,0.5,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Stanley Jacks,2.2352941176,0.9411764706,1.5882352941,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Terry Dehere,8.0472636816,2.5721393035,1.4626865672,0.0895522388,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Toni Kukoč,11.595744681,3.6867612293,4.2021276596,0.3427895981,13,0,0.0,3.0,0,0,0,0,0,0,0,0,0,True
Vin Baker,14.967130215,1.9077117573,7.417193426,1.0088495575,13,0,0.0,0.0,0,0,0,0,1,1,0,0,4,False
Warren Kidd,3.6323529412,0.2794117647,3.4264705882,0.3382352941,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Aaron McKie,7.4035308953,2.6809583859,3.262295082,0.2068095839,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Aaron Swinson,2.6666666667,0.3333333333,0.8888888889,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Anthony Mille,2.817679558,0.364640884,2.6961325967,0.1436464088,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Anthony Tucke,3.9193548387,1.0967741935,2.7419354839,0.1774193548,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Antonio Lang,2.3006993007,0.3496503497,1.4685314685,0.3216783217,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Askia Jones,4.0909090909,1.4545454545,1.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
B.J. Tyler,3.5454545455,3.1636363636,1.1272727273,0.0363636364,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bill Curley,2.6802721088,0.4081632653,1.9727891156,0.2993197279,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Brian Grant,10.493386243,1.2208994709,7.4365079365,0.7420634921,12,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Brooks Thomps,4.5238095238,1.6726190476,0.9404761905,0.0297619048,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Carlos Rogers,7.3691275168,0.610738255,4.2684563758,0.788590604,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Charlie Ward,6.2650793651,4.0301587302,2.6158730159,0.2031746032,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Chris Childs,6.8576709797,4.8669131238,2.4177449168,0.0998151571,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Clifford Rozi,4.7803468208,0.5664739884,5.1849710983,0.6531791908,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Darrell Armst,9.180952381,4.0404761905,2.7011904762,0.1166666667,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Darrick Marti,6.8579766537,2.8696498054,1.1439688716,0.0428015564,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Darrin Hancoc,3.5112781955,0.6691729323,1.2706766917,0.0751879699,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Derrick Alsto,5.4028776978,0.6762589928,3.7769784173,0.6258992806,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Derrick Phelp,0.0,0.3333333333,0.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Dickey Simpki,4.244648318,0.9327217125,3.629969419,0.1834862385,7,0,0.0,3.0,0,0,0,0,0,0,0,0,0,False
Dontonio Wing,3.7105263158,0.6666666667,2.4122807018,0.1315789474,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Donyell Marsh,11.197492163,1.3636363636,6.6624869383,0.8861024033,15,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Dwayne Morton,4.0731707317,0.4390243902,1.4146341463,0.3658536585,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Eddie Jones,14.837526205,2.9475890985,4.0429769392,0.607966457,14,0,0.0,0.0,0,0,0,0,0,1,0,3,3,False
Eldridge Reca,5.8513513514,1.7635135135,1.8040540541,0.0405405405,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Elmer Bennett,2.2857142857,1.0476190476,0.4761904762,0.0476190476,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Eric Mobley,3.8938053097,0.5044247788,3.1061946903,0.5398230088,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Eric Montross,4.4537634409,0.4451612903,4.6430107527,0.5913978495,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Eric Piatkows,7.5019011407,0.9860583016,2.174904943,0.1457541191,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Fred Vinson,1.3076923077,0.0769230769,0.0769230769,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Glenn Robinso,20.688953488,2.7311046512,6.0886627907,0.5654069767,11,0,0.0,1.0,0,0,0,0,0,0,0,0,2,False
